"(((Two:Spades),(Two:Hearts)),((Two:Diamonds),(Two:Clubs)))",6
"(((Three:Spades),(Two:Hearts)),((Two:Diamonds),(Two:Clubs)))",12
"(((Three:Spades),(Two:Hearts)),((Two:Spades),(Two:Diamonds)))",24
"(((Three:Spades),(Two:Hearts)),((Three:Diamonds),(Two:Clubs)))",24
"(((Three:Spades),(Two:Hearts)),((Three:Diamonds),(Two:Spades)))",24
"(((Three:Spades),(Two:Hearts)),((Three:Hearts),(Two:Spades)))",12
"(((Three:Spades),(Two:Spades)),((Two:Hearts),(Two:Diamonds)))",12
"(((Three:Spades),(Two:Spades)),((Three:Hearts),(Two:Diamonds)))",24
"(((Three:Spades),(Two:Spades)),((Three:Hearts),(Two:Hearts)))",12
"(((Three:Spades),(Three:Hearts)),((Two:Diamonds),(Two:Clubs)))",6
"(((Three:Spades),(Three:Hearts)),((Two:Spades),(Two:Diamonds)))",24
"(((Three:Spades),(Three:Hearts)),((Two:Spades),(Two:Hearts)))",6
"(((Three:Spades),(Three:Hearts)),((Three:Diamonds),(Two:Clubs)))",12
"(((Three:Spades),(Three:Hearts)),((Three:Diamonds),(Two:Diamonds)))",12
"(((Three:Spades),(Three:Hearts)),((Three:Diamonds),(Two:Hearts)))",24
"(((Three:Spades),(Three:Hearts)),((Three:Diamonds),(Three:Clubs)))",6
"(((Four:Spades),(Two:Hearts)),((Two:Diamonds),(Two:Clubs)))",12
"(((Four:Spades),(Two:Hearts)),((Two:Diamonds),(Three:Clubs)))",24
"(((Four:Spades),(Two:Hearts)),((Two:Diamonds),(Three:Diamonds)))",24
"(((Four:Spades),(Two:Hearts)),((Two:Diamonds),(Three:Hearts)))",24
"(((Four:Spades),(Two:Hearts)),((Two:Diamonds),(Three:Spades)))",24
"(((Four:Spades),(Two:Hearts)),((Two:Spades),(Two:Diamonds)))",24
"(((Four:Spades),(Two:Hearts)),((Two:Spades),(Three:Diamonds)))",24
"(((Four:Spades),(Two:Hearts)),((Two:Spades),(Three:Hearts)))",12
"(((Four:Spades),(Two:Hearts)),((Two:Spades),(Three:Spades)))",12
"(((Four:Spades),(Two:Hearts)),((Three:Diamonds),(Three:Clubs)))",12
"(((Four:Spades),(Two:Hearts)),((Three:Hearts),(Three:Diamonds)))",24
"(((Four:Spades),(Two:Hearts)),((Three:Spades),(Three:Diamonds)))",24
"(((Four:Spades),(Two:Hearts)),((Three:Spades),(Three:Hearts)))",12
"(((Four:Spades),(Two:Hearts)),((Four:Diamonds),(Two:Clubs)))",24
"(((Four:Spades),(Two:Hearts)),((Four:Diamonds),(Two:Spades)))",24
"(((Four:Spades),(Two:Hearts)),((Four:Hearts),(Two:Spades)))",12
"(((Four:Spades),(Two:Spades)),((Two:Hearts),(Two:Diamonds)))",12
"(((Four:Spades),(Two:Spades)),((Two:Hearts),(Three:Diamonds)))",24
"(((Four:Spades),(Two:Spades)),((Two:Hearts),(Three:Hearts)))",12
"(((Four:Spades),(Two:Spades)),((Two:Hearts),(Three:Spades)))",12
"(((Four:Spades),(Two:Spades)),((Three:Hearts),(Three:Diamonds)))",12
